SID: 37303, MITRE URLs: ['https://attack.mitre.org/techniques/T1021'],
SID: 37304, MITRE URLs: ['https://attack.mitre.org/techniques/T1021'],
SID: 37305, MITRE URLs: ['https://attack.mitre.org/techniques/T1021'],
SID: 37306, MITRE URLs: ['https://attack.mitre.org/techniques/T1021'],
SID: 44646, MITRE URLs: ['https://attack.mitre.org/techniques/T1021'],
SID: 51632, MITRE URLs: ['https://attack.mitre.org/techniques/T1027/'],
SID: 51633, MITRE URLs: ['https://attack.mitre.org/techniques/T1027/'],
SID: 4916, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 4917, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12770, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12771, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12772, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12773, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12774, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 12775, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 21037, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 21038, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 21108, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 23161, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 23611, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 23612, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 28609, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 29519, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 29580, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 32804, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 33983, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 35109, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 35110, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 36824, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 37909, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 38104, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 38595, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 38641, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 38876, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 39130, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 39320, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 41084, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 41092, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 41714, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 42017, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 43672, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 43673, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 45915, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 57385, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 57797, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'],
SID: 16339, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 16573, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 16574, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 17571, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
SID: 19884, MITRE URLs: ['https://attack.mitre.org/techniques/T1027'] ,
